epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,15755.1,0.77258,0.48852,1.16156,0.93246,0.94311,0.96352,0.82476,0.78108,0.40327,1.16285,7.43e-05,7.43e-05,7.43e-05
88,15935.4,0.75573,0.4838,1.15442,0.92438,0.95213,0.96377,0.82524,0.78052,0.40409,1.16297,6.935e-05,6.935e-05,6.935e-05
89,16115.5,0.75896,0.47974,1.15304,0.95104,0.92156,0.96251,0.8253,0.78132,0.40295,1.16359,6.44e-05,6.44e-05,6.44e-05
90,16293.7,0.74839,0.48118,1.15107,0.95108,0.92161,0.96251,0.82443,0.78105,0.40238,1.16299,5.945e-05,5.945e-05,5.945e-05
91,16469.6,0.68082,0.31945,1.11753,0.94866,0.92472,0.96287,0.82497,0.78148,0.40119,1.16398,5.45e-05,5.45e-05,5.45e-05
92,16641.7,0.66533,0.30613,1.10283,0.92434,0.95171,0.96311,0.82606,0.78203,0.39938,1.16487,4.955e-05,4.955e-05,4.955e-05
93,16812.7,0.65584,0.3007,1.09527,0.92643,0.9488,0.96187,0.82514,0.78085,0.39986,1.16445,4.46e-05,4.46e-05,4.46e-05
94,16984.8,0.65248,0.29688,1.09065,0.94918,0.92393,0.96056,0.82423,0.77877,0.39889,1.16232,3.965e-05,3.965e-05,3.965e-05
95,17158.3,0.64585,0.29389,1.08625,0.96031,0.91527,0.95993,0.82347,0.77897,0.39805,1.16295,3.47e-05,3.47e-05,3.47e-05
96,17330.6,0.64522,0.29198,1.088,0.93284,0.94222,0.96016,0.82442,0.77782,0.39803,1.16215,2.975e-05,2.975e-05,2.975e-05
97,17503,0.64064,0.28792,1.08297,0.94623,0.92453,0.95828,0.82479,0.77548,0.39996,1.16002,2.48e-05,2.48e-05,2.48e-05
98,17674.7,0.63952,0.28981,1.08242,0.94696,0.92402,0.95827,0.82482,0.7756,0.40026,1.16039,1.985e-05,1.985e-05,1.985e-05
99,17846,0.63045,0.28483,1.0795,0.94455,0.925,0.95821,0.82455,0.77527,0.40043,1.16043,1.49e-05,1.49e-05,1.49e-05
100,18016.6,0.62744,0.28569,1.07404,0.94324,0.92458,0.95685,0.82438,0.77496,0.40142,1.1603,9.95e-06,9.95e-06,9.95e-06
